,Município,UF,Capag_real,Capag_predito
0,Alta Floresta D'Oeste,Rondônia,,0
1,Ariquemes,Rondônia,0,0
2,Cabixi,Rondônia,0,0
3,Cacoal,Rondônia,1,1
4,Cerejeiras,Rondônia,0,0
5,Colorado do Oeste,Rondônia,0,0
6,Corumbiara,Rondônia,1,1
7,Costa Marques,Rondônia,0,0
8,Espigão D'Oeste,Rondônia,0,0
9,Guajará-Mirim,Rondônia,0,0
10,Jaru,Rondônia,0,0
11,Ji-Paraná,Rondônia,0,0
12,Machadinho D'Oeste,Rondônia,0,0
13,Nova Brasilândia D'Oeste,Rondônia,,0
14,Ouro Preto do Oeste,Rondônia,1,1
15,Pimenta Bueno,Rondônia,0,0
16,Porto Velho,Rondônia,0,0
17,Presidente Médici,Rondônia,0,0
18,Rio Crespo,Rondônia,1,1
19,Rolim de Moura,Rondônia,1,1
20,Santa Luzia D'Oeste,Rondônia,0,0
21,Vilhena,Rondônia,0,0
22,São Miguel do Guaporé,Rondônia,1,0
23,Nova Mamoré,Rondônia,0,0
24,Alvorada D'Oeste,Rondônia,0,0
25,Alto Alegre dos Parecis,Rondônia,0,0
26,Alto Paraíso,Rondônia,0,0
27,Buritis,Rondônia,0,0
28,Novo Horizonte do Oeste,Rondônia,1,1
29,Cacaulândia,Rondônia,1,1
30,Campo Novo de Rondônia,Rondônia,1,1
31,Candeias do Jamari,Rondônia,1,1
32,Castanheiras,Rondônia,1,1
33,Chupinguaia,Rondônia,0,0
34,Cujubim,Rondônia,0,0
35,Governador Jorge Teixeira,Rondônia,0,1
36,Itapuã do Oeste,Rondônia,0,0
37,Ministro Andreazza,Rondônia,0,0
38,Mirante da Serra,Rondônia,0,0
39,Monte Negro,Rondônia,0,0
40,Nova União,Rondônia,0,0
41,Parecis,Rondônia,,1
42,Pimenteiras do Oeste,Rondônia,0,0
43,Primavera de Rondônia,Rondônia,1,1
44,São Felipe D'Oeste,Rondônia,1,1
45,São Francisco do Guaporé,Rondônia,0,1
46,Seringueiras,Rondônia,1,1
47,Teixeirópolis,Rondônia,0,0
48,Theobroma,Rondônia,1,1
49,Urupá,Rondônia,0,0
50,Vale do Anari,Rondônia,0,0
51,Vale do Paraíso,Rondônia,0,0
52,Acrelândia,Acre,,1
53,Assis Brasil,Acre,1,1
54,Brasiléia,Acre,1,1
55,Bujari,Acre,,1
56,Capixaba,Acre,,1
57,Cruzeiro do Sul,Acre,1,1
58,Epitaciolândia,Acre,1,1
59,Feijó,Acre,,1
60,Jordão,Acre,1,1
61,Mâncio Lima,Acre,1,1
62,Manoel Urbano,Acre,1,1
63,Marechal Thaumaturgo,Acre,0,0
64,Plácido de Castro,Acre,,1
65,Porto Walter,Acre,,1
66,Rio Branco,Acre,0,0
67,Rodrigues Alves,Acre,0,0
68,Santa Rosa do Purus,Acre,,1
69,Senador Guiomard,Acre,,1
70,Sena Madureira,Acre,1,1
71,Tarauacá,Acre,0,1
72,Xapuri,Acre,1,1
73,Porto Acre,Acre,1,1
74,Alvarães,Amazonas,1,1
75,Amaturá,Amazonas,1,1
76,Anamã,Amazonas,0,1
77,Anori,Amazonas,1,1
78,Apuí,Amazonas,0,0
79,Atalaia do Norte,Amazonas,1,1
80,Autazes,Amazonas,,0
81,Barcelos,Amazonas,1,1
82,Barreirinha,Amazonas,1,1
83,Benjamin Constant,Amazonas,1,1
84,Beruri,Amazonas,1,1
85,Boa Vista do Ramos,Amazonas,1,1
86,Boca do Acre,Amazonas,1,1
87,Borba,Amazonas,1,1
88,Caapiranga,Amazonas,1,1
89,Canutama,Amazonas,,1
90,Carauari,Amazonas,1,1
91,Careiro,Amazonas,1,1
92,Careiro da Várzea,Amazonas,1,1
93,Coari,Amazonas,1,1
94,Codajás,Amazonas,1,1
95,Eirunepé,Amazonas,1,1
96,Envira,Amazonas,1,1
97,Fonte Boa,Amazonas,1,1
98,Guajará,Amazonas,0,1
99,Humaitá,Amazonas,0,1
100,Ipixuna,Amazonas,1,1
101,Iranduba,Amazonas,0,0
102,Itacoatiara,Amazonas,1,1
103,Itamarati,Amazonas,1,1
104,Itapiranga,Amazonas,1,1
105,Japurá,Amazonas,1,1
106,Juruá,Amazonas,,1
107,Jutaí,Amazonas,1,1
108,Lábrea,Amazonas,,1
109,Manacapuru,Amazonas,,1
110,Manaquiri,Amazonas,0,0
111,Manaus,Amazonas,0,0
112,Manicoré,Amazonas,1,1
113,Maraã,Amazonas,1,1
114,Maués,Amazonas,0,1
115,Nhamundá,Amazonas,0,1
116,Nova Olinda do Norte,Amazonas,1,1
117,Novo Airão,Amazonas,1,1
118,Novo Aripuanã,Amazonas,1,1
119,Parintins,Amazonas,1,1
120,Pauini,Amazonas,,1
121,Presidente Figueiredo,Amazonas,1,1
122,Rio Preto da Eva,Amazonas,1,1
123,Santa Isabel do Rio Negro,Amazonas,1,1
124,Santo Antônio do Içá,Amazonas,1,1
125,São Gabriel da Cachoeira,Amazonas,1,1
