,Município,PIB_per_capita,População,Capag_real,Capag_predito
0,Alta Floresta D'Oeste,21552,23167,,0
1,Ariquemes,23206,106168,0,0
2,Cabixi,25837,5438,0,0
3,Cacoal,25708,84813,1,1
4,Cerejeiras,28714,16444,0,0
5,Colorado do Oeste,20362,16227,0,0
6,Corumbiara,42371,7567,1,1
7,Costa Marques,12890,17855,0,0
8,Espigão D'Oeste,18984,32047,0,0
9,Guajará-Mirim,18279,45783,0,0
10,Jaru,28433,51933,0,0
11,Ji-Paraná,26287,127907,0,0
12,Machadinho D'Oeste,16423,39097,0,0
13,Nova Brasilândia D'Oeste,18086,20459,,0
14,Ouro Preto do Oeste,22252,36340,1,1
15,Pimenta Bueno,31046,36434,0,0
16,Porto Velho,32042,519531,0,0
17,Presidente Médici,21515,19409,0,0
18,Rio Crespo,28611,3723,1,1
19,Rolim de Moura,24077,54702,1,1
20,Santa Luzia D'Oeste,21625,6781,0,0
21,Vilhena,28420,97448,0,0
22,São Miguel do Guaporé,31025,22931,1,1
23,Nova Mamoré,17095,29757,0,0
24,Alvorada D'Oeste,17423,14722,0,0
25,Alto Alegre dos Parecis,21053,13227,0,0
26,Alto Paraíso,15655,20999,0,0
27,Buritis,17489,38937,0,0
28,Novo Horizonte do Oeste,18946,8751,1,1
29,Cacaulândia,22718,6190,1,1
30,Campo Novo de Rondônia,20011,14009,1,1
31,Candeias do Jamari,21856,25983,1,1
32,Castanheiras,36238,3119,1,1
33,Chupinguaia,27680,10886,0,0
34,Cujubim,14739,24226,0,0
35,Governador Jorge Teixeira,22085,8095,0,0
36,Itapuã do Oeste,17551,10272,0,0
37,Ministro Andreazza,21126,9762,0,0
38,Mirante da Serra,19672,11080,0,0
39,Monte Negro,18031,15695,0,0
40,Nova União,17178,7047,0,0
41,Parecis,17923,5947,,1
42,Pimenteiras do Oeste,47731,2191,0,0
43,Primavera de Rondônia,20598,2939,1,1
44,São Felipe D'Oeste,16961,5280,1,1
45,São Francisco do Guaporé,17778,19842,0,0
46,Seringueiras,19812,11860,1,1
47,Teixeirópolis,20370,4384,0,0
48,Theobroma,18292,10494,1,1
49,Urupá,18617,11665,0,0
50,Vale do Anari,14505,11028,0,0
51,Vale do Paraíso,21454,6998,0,0
52,Acrelândia,15737,15020,,0
