;Município;Região;UF;Reg_Metropolitana;Mun_Reg_Geog_Imediata;Mun_Reg_Geog_Intermediária;Tipo_Conc_Urbana;Hierarquia_Urbana;Hier_Urbana_princ_categ;Região_rural;Amazônia_Legal;Semiárido;Cid_Região_São_Paulo;PIB_PERC;VAB_Indústria/Total;VAB_Serviço/Total;VAB_Adm/Total;VAB_Agricultura/Total;CLASS_CAPAG_real;CLASS_CAPAG_predito
0;Alta Floresta D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21552;0,055979908;0,262209051;0,329631627;0,352179414;;0
1;Ariquemes;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Capital Regional;Sim;Não;Não;23206;0,153590394;0,467636169;0,305013493;0,073759491;1;1
2;Cabixi;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;25837;0,03839822;0,186651835;0,312665925;0,462269188;0;1
3;Cacoal;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;25708;0,113825562;0,496921885;0,280574657;0,108677385;0;1
4;Cerejeiras;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;28714;0,056576125;0,517530962;0,272233862;0,153659051;0;1
5;Colorado do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;20362;0,084758706;0,334757088;0,342717171;0,237763799;0;0
6;Corumbiara;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;42371;0,032137136;0,098619425;0,184126125;0,685114092;1;1
7;Costa Marques;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12890;0,032439017;0,192714818;0,489309103;0,285532567;1;0
8;Espigão D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;18984;0,109651404;0,327697673;0,348115101;0,214534035;1;1
9;Guajará-Mirim;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;18279;0,040175557;0,50078176;0,39410539;0,064934526;1;0
10;Jaru;Norte;Rondônia;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;28433;0,17218607;0,447434517;0,247823308;0,132556105;1;1
11;Ji-Paraná;Norte;Rondônia;Não;Polo;Polo;Média concentração urbana;Centro Subregional A;Centro Subregional;Região Rural de Capital Regional;Sim;Não;Não;26287;0,138225126;0,549054764;0,264120096;0,048599329;1;1
12;Machadinho D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;16423;0,07678298;0,213896964;0,397322152;0,311996266;1;0
13;Nova Brasilândia D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18086;0,106199091;0,234808083;0,361968047;0,297021921;;0
14;Ouro Preto do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;22252;0,109533534;0,381319962;0,317286412;0,191858756;1;1
15;Pimenta Bueno;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;31046;0,188824926;0,43806715;0,257991158;0,115115716;1;1
16;Porto Velho;Norte;Rondônia;Sim;Polo;Polo;Média concentração urbana;Capital Regional B;Capital Regional;Região Rural de Capital Regional;Sim;Não;Não;32042;0,26558097;0,458741379;0,235335671;0,040341911;1;0
17;Presidente Médici;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21515;0,096636177;0,306975391;0,3282526;0,268133211;0;0
18;Rio Crespo;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;28611;0,071078788;0,107529697;0,290870303;0,530501818;0;0
19;Rolim de Moura;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;24077;0,209097168;0,418010583;0,29218328;0,080707306;0;0
20;Santa Luzia D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21625;0,096242421;0,189824609;0,350273452;0,363645368;0;1
21;Vilhena;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;28420;0,186058602;0,486090924;0,268233866;0,059616193;1;1
22;São Miguel do Guaporé;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;31025;0,190003128;0,227540321;0,223392253;0,359062815;0;0
